区分,講師No.,講師名（日本語）,講師名（英語）,専門科,所属,日付,時間帯,開始時刻,終了時刻,場所,レクチャータイトル（日本語）,レクチャータイトル（英語）,配信用動画タイトル,Zoom URL,ミーティングID,パスコード,備考,status,video_uri,link
短期,2025-IM-01,,Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",2025/9/1,早朝,7:30,8:30,第1会議室 又は ハワイ大図書室,,Case Conference by Dr.Arimoto,[内科] Dr.Joel Branch - Case Conference by Dr.Arimoto (2025.09.01),https://us06web.zoom.us/j/89383677945?pwd=22nmT87eotFj8VxKarZs7Ens8lC4Y3.1,893 8367 7945,189514,,skipped(already_on_vimeo),,
短期,2025-IM-01,,Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",2025/9/2,早朝,7:30,8:30,第1会議室 又は ハワイ大図書室,,Case Conference by Dr.Hiyajo,[内科] Dr.Joel Branch - Case Conference by Dr.Hiyajo (2025.09.02),https://us06web.zoom.us/j/89383677945?pwd=22nmT87eotFj8VxKarZs7Ens8lC4Y3.1,893 8367 7945,189514,,skipped(already_on_vimeo),,
短期,2025-IM-01,,Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",2025/9/2,コア,13:00,13:30,第1会議室 又は ハワイ大図書室,,Cutaneous manifestations of systemic disease,[内科] Dr.Joel Branch - Cutaneous manifestations of systemic disease (2025.09.02),https://us06web.zoom.us/j/88433511829?pwd=1Yzi8bCp5b9bQI6ISf4ErbMcOaDnyk.1,884 3351 1829,844440,,skipped(already_on_vimeo),,
短期,2025-IM-01,,Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",2025/9/3,早朝,7:30,8:30,第1会議室 又は ハワイ大図書室,,Case Conference by Dr. Yagi,[内科] Dr.Joel Branch - Case Conference by Dr. Yagi (2025.09.03),https://us06web.zoom.us/j/89383677945?pwd=22nmT87eotFj8VxKarZs7Ens8lC4Y3.1,893 8367 7945,189514,,missing,,
短期,2025-IM-01,,Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",2025/9/3,コア,13:00,13:30,第1会議室 又は ハワイ大図書室,,Physical examination differentiation between pneumonia and pleural fusion,[内科] Dr.Joel Branch - Physical examination differentiation between pneumonia and pleural fusion (2025.09.03),https://us06web.zoom.us/j/88433511829?pwd=1Yzi8bCp5b9bQI6ISf4ErbMcOaDnyk.1,884 3351 1829,844440,,skipped(already_on_vimeo),,
短期,2025-IM-01,,Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",2025/9/4,早朝,7:30,8:30,第1会議室 又は ハワイ大図書室,,Case Conference by Dr.Kinjo,[内科] Dr.Joel Branch - Case Conference by Dr.Kinjo (2025.09.04),https://us06web.zoom.us/j/89383677945?pwd=22nmT87eotFj8VxKarZs7Ens8lC4Y3.1,893 8367 7945,189514,,skipped(already_on_vimeo),,
短期,2025-IM-01,,Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",2025/9/4,コア,13:00,13:30,第1会議室 又は ハワイ大図書室,,Is the neurological examination still valid in the era of the MRI scanner?,[内科] Dr.Joel Branch - Is the neurological examination still valid in the era of the MRI scanner? (2025.09.04),https://us06web.zoom.us/j/88433511829?pwd=1Yzi8bCp5b9bQI6ISf4ErbMcOaDnyk.1,884 3351 1829,844440,,skipped(already_on_vimeo),,
短期,2025-IM-01,,Dr.Joel Branch,内科コンサルタント,"Director, Internal Medicine. Education＆Simulation Skills Training. Shonan Kamakura General Hosp. / Director of Clinical Education Yao Tokushukai General Hospital",2025/9/5,早朝,7:30,8:30,第1会議室 又は ハワイ大図書室,,Case Conference by Dr.Masuda,[内科] Dr.Joel Branch - Case Conference by Dr.Masuda (2025.09.05),https://us06web.zoom.us/j/89383677945?pwd=22nmT87eotFj8VxKarZs7Ens8lC4Y3.1,893 8367 7945,189514,※コアレクチャーなし,skipped(already_on_vimeo),,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/9/29,早朝,7:30,8:30,ハワイ大図書室,,How to evaluate JVP,[循環器] Kazuhito Hirata - How to evaluate JVP (2025.09.29),https://us06web.zoom.us/j/88633785145?pwd=DqC4qKXw44h0iheaULD3Ekz9AKkhNA.1,886 3378 5145,140572,,skipped(already_on_vimeo),,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/9/29,コア,13:00,13:30,第1会議室,,Practical auscultation training ①,[循環器] Kazuhito Hirata - Practical auscultation training ① (2025.09.29),https://us06web.zoom.us/j/88631600592?pwd=QnhbQ5BZppaSPOKEvfHyRKTk6n1gGk.1,886 3160 0592,10829,,missing,,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/9/29,午後,15:00,17:30,ハワイ大図書室,,Physical examination workshop (Harvey) ①,[循環器] Kazuhito Hirata - Physical examination workshop (Harvey) ① (2025.09.29),,,,※事前申込者のみ,missing,,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/9/30,早朝,7:30,8:30,ハワイ大図書室,,How to perform cardiac auscultation,[循環器] Kazuhito Hirata - How to perform cardiac auscultation (2025.09.30),https://us06web.zoom.us/j/88633785145?pwd=DqC4qKXw44h0iheaULD3Ekz9AKkhNA.1,886 3378 5145,140572,,skipped(already_on_vimeo),,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/9/30,コア,13:00,13:30,第1会議室,,Practical auscultation training ②,[循環器] Kazuhito Hirata - Practical auscultation training ② (2025.09.30),https://us06web.zoom.us/j/88631600592?pwd=QnhbQ5BZppaSPOKEvfHyRKTk6n1gGk.1,886 3160 0592,10829,,missing,,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/9/30,午後,15:00,17:30,ハワイ大図書室,,Physical examination workshop (Harvey) ②,[循環器] Kazuhito Hirata - Physical examination workshop (Harvey) ② (2025.09.30),,,,※事前申込者のみ,missing,,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/10/1,早朝,7:30,8:30,ハワイ大図書室,,Paradigm shift in AMI diagnosis,[循環器] Kazuhito Hirata - Paradigm shift in AMI diagnosis (2025.10.01),https://us06web.zoom.us/j/88633785145?pwd=DqC4qKXw44h0iheaULD3Ekz9AKkhNA.1,886 3378 5145,140572,,skipped(already_on_vimeo),,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/10/1,コア,13:00,13:30,第1会議室,,Aortic dissection,[循環器] Kazuhito Hirata - Aortic dissection (2025.10.01),https://us06web.zoom.us/j/88631600592?pwd=QnhbQ5BZppaSPOKEvfHyRKTk6n1gGk.1,886 3160 0592,10829,,skipped(already_on_vimeo),,
短期,2025-CARD-01,平田一仁,Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,2025/10/1,午後,15:00,17:30,ハワイ大図書室,,Physical examination workshop (Harvey) ③,[循環器] Kazuhito Hirata - Physical examination workshop (Harvey) ③ (2025.10.01),,,,※事前申込者のみ／スタッフ向け,missing,,
短期,2025-NEURO-01,宇高不可思,Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,2025/10/8,早朝,7:30,8:30,ハワイ大図書室,,超高齢社会の神経疾患診療 ～老年神経学エッセンス～,[神経内科] Fukashi Udaka - 超高齢社会の神経疾患診療 ～老年神経学エッセンス～ (2025.10.08),https://us06web.zoom.us/j/83520308395?pwd=bx7qVX5VZBAGc8ZnRxSVCxtsqvFzzL.1,835 2030 8395,146020,,skipped(already_on_vimeo),,
短期,2025-NEURO-01,宇高不可思,Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,2025/10/8,コア,13:00,13:30,第1会議室,,Clinical neuropathology through cases (1): Sudden death and hypoxic-ischemic encephalopathy,[神経内科] Fukashi Udaka - Clinical neuropathology through cases (1): Sudden death and hypoxic-ischemic encephalopathy (2025.10.08),https://us06web.zoom.us/j/89533186819?pwd=ts1neKeQzbMeYprIj7QbLIfA7erEZJ.1,895 3318 6819,604131,,skipped(already_on_vimeo),,
短期,2025-NEURO-01,宇高不可思,Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,2025/10/9,早朝,7:30,8:30,ハワイ大図書室,,Clinical neuropathology through cases (2): Cerebrovascular disorders,[神経内科] Fukashi Udaka - Clinical neuropathology through cases (2): Cerebrovascular disorders (2025.10.09),https://us06web.zoom.us/j/83520308395?pwd=bx7qVX5VZBAGc8ZnRxSVCxtsqvFzzL.1,835 2030 8395,146020,,skipped(already_on_vimeo),,
短期,2025-NEURO-01,宇高不可思,Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,2025/10/9,コア,13:00,13:30,第1会議室,,"Clinical neuropathology through cases (3): Tumors, paraneoplastic syndromes, and metabolic disorders","[神経内科] Fukashi Udaka - Clinical neuropathology through cases (3): Tumors, paraneoplastic syndromes, and metabolic disorders (2025.10.09)",https://us06web.zoom.us/j/89533186819?pwd=ts1neKeQzbMeYprIj7QbLIfA7erEZJ.1,895 3318 6819,604131,,missing,,
短期,2025-NEURO-01,宇高不可思,Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,2025/10/10,早朝,7:30,8:30,第1会議室,,"Clinical neuropathology through cases (4): Infection, inflammation, degeneration, and others","[神経内科] Fukashi Udaka - Clinical neuropathology through cases (4): Infection, inflammation, degeneration, and others (2025.10.10)",https://us06web.zoom.us/j/83520308395?pwd=bx7qVX5VZBAGc8ZnRxSVCxtsqvFzzL.1,835 2030 8395,146020,,skipped(already_on_vimeo),,
短期,2025-NEURO-01,宇高不可思,Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,2025/10/10,夕方,18:30,,沖縄県医師会館,,Approach to care for elderly patients with dementia,[神経内科] Fukashi Udaka - Approach to care for elderly patients with dementia (2025.10.10),,,,,missing,,
短期,2025-NEURO-01,宇高不可思,Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,2025/10/10,ランチョン,12:10,13:15,南部医療センター,,Clinical neuropathology through cases: Imaging–pathology correlation seminar,[神経内科] Fukashi Udaka - Clinical neuropathology through cases: Imaging–pathology correlation seminar (2025.10.10),https://us06web.zoom.us/j/89569629969?pwd=cvfSbT8a0atR460U8JpfddQ29MdhEt.1,895 6962 9969,208814,,missing,,
短期,2025-TRAUMA-01,古田翔,Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",2025/10/14,早朝,7:30,8:30,第2会議室,,Skills required for trauma surgeons,[外傷外科] Sho Furuta - Skills required for trauma surgeons (2025.10.14),https://us06web.zoom.us/j/89530833077?pwd=br8kuXmaCpBb8m4rQNAyX5BRUTHlnF.1,895 3083 3077,280060,,skipped(already_on_vimeo),,
短期,2025-TRAUMA-01,古田翔,Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",2025/10/15,早朝,7:30,8:30,第2会議室,,Topics on REBOA,[外傷外科] Sho Furuta - Topics on REBOA (2025.10.15),https://us06web.zoom.us/j/89530833077?pwd=br8kuXmaCpBb8m4rQNAyX5BRUTHlnF.1,895 3083 3077,280060,,skipped(already_on_vimeo),,
短期,2025-TRAUMA-01,古田翔,Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",2025/10/15,コア,13:00,13:30,第1会議室,,My journey to obtaining a surgical residency overseas,[外傷外科] Sho Furuta - My journey to obtaining a surgical residency overseas (2025.10.15),https://us06web.zoom.us/j/86051352858?pwd=rnjeOGMO49tbjy7mjHyvxlRqZx3P4s.1,860 5135 2858,862904,,skipped(already_on_vimeo),,
短期,2025-TRAUMA-01,古田翔,Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",2025/10/16,早朝,7:30,8:30,第2会議室,,Trauma unique to Hawaii,[外傷外科] Sho Furuta - Trauma unique to Hawaii (2025.10.16),https://us06web.zoom.us/j/89530833077?pwd=br8kuXmaCpBb8m4rQNAyX5BRUTHlnF.1,895 3083 3077,280060,,skipped(already_on_vimeo),,
短期,2025-TRAUMA-01,古田翔,Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",2025/10/17,早朝,7:30,8:30,第2会議室,,Current status and future of Acute Care Surgery,[外傷外科] Sho Furuta - Current status and future of Acute Care Surgery (2025.10.17),https://us06web.zoom.us/j/89530833077?pwd=br8kuXmaCpBb8m4rQNAyX5BRUTHlnF.1,895 3083 3077,280060,,skipped(already_on_vimeo),,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/20,早朝,7:30,8:30,第1会議室,,Overview of University of Hawaii Sponsored Graduate Medical Education Programs,[消化器内科] Dr.Scotto K. Kuwada - Overview of University of Hawaii Sponsored Graduate Medical Education Programs (2025.10.20),https://us06web.zoom.us/j/89526126843?pwd=026XvjVmZ23WOxNqm6uVcyVWDoi3Q4.1,895 2612 6843,384091,,skipped(already_on_vimeo),,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/20,午後,14:30,16:30,南部医療センター,,Evening Lecture @ Nanbu Medical Center,[消化器内科] Dr.Scotto K. Kuwada - Evening Lecture @ Nanbu Medical Center (2025.10.20),https://us06web.zoom.us/j/84264269267?pwd=txHXX96H96HWCsdswBj70obhxRwbHb.1,842 6426 9267,643918,,missing,,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/21,早朝,7:30,8:30,第1会議室,,Career Pathways for GI Board Certification and Training System in the U.S.,[消化器内科] Dr.Scotto K. Kuwada - Career Pathways for GI Board Certification and Training System in the U.S. (2025.10.21),https://us06web.zoom.us/j/89526126843?pwd=026XvjVmZ23WOxNqm6uVcyVWDoi3Q4.1,895 2612 6843,384091,,skipped(already_on_vimeo),,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/21,コア,13:00,13:30,ハワイ大図書室,,GI Emergencies Lecture,[消化器内科] Dr.Scotto K. Kuwada - GI Emergencies Lecture (2025.10.21),https://us06web.zoom.us/j/84296892493?pwd=GbA7UTJp3fy8fTFlf6aUUi6INeQbtk.1,842 9689 2493,451715,,skipped(already_on_vimeo),,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/22,早朝,7:30,8:30,ハワイ大図書室,,Ethnic Trends in Early Onset Colorectal Cancer,[消化器内科] Dr.Scotto K. Kuwada - Ethnic Trends in Early Onset Colorectal Cancer (2025.10.22),https://us06web.zoom.us/j/89526126843?pwd=026XvjVmZ23WOxNqm6uVcyVWDoi3Q4.1,895 2612 6843,384091,,skipped(already_on_vimeo),,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/22,コア,13:00,13:30,第2会議室,,Inflammatory Bowel Disease,[消化器内科] Dr.Scotto K. Kuwada - Inflammatory Bowel Disease (2025.10.22),https://us06web.zoom.us/j/84296892493?pwd=GbA7UTJp3fy8fTFlf6aUUi6INeQbtk.1,842 9689 2493,451715,,skipped(already_on_vimeo),,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/23,早朝,7:30,8:30,第1会議室,,Morning Report,[消化器内科] Dr.Scotto K. Kuwada - Morning Report (2025.10.23),https://us06web.zoom.us/j/89526126843?pwd=026XvjVmZ23WOxNqm6uVcyVWDoi3Q4.1,895 2612 6843,384091,,skipped(already_on_vimeo),,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/24,早朝,7:30,8:30,第1会議室,,Gastrointestinal Cancer Screening Practices in the U.S.,[消化器内科] Dr.Scotto K. Kuwada - Gastrointestinal Cancer Screening Practices in the U.S. (2025.10.24),https://us06web.zoom.us/j/89526126843?pwd=026XvjVmZ23WOxNqm6uVcyVWDoi3Q4.1,895 2612 6843,384091,,skipped(already_on_vimeo),,
短期,2025-GI-01,,Dr.Scotto K. Kuwada,Gastroenterology,"Ken and Gemie Arakawas Endowed Chair and Professor of Medicine / Chief, Division of Gastroenterology, University of Hawaii",2025/10/24,コア,13:00,13:30,ハワイ大図書室,,The Fatty Liver Disease Epidemic,[消化器内科] Dr.Scotto K. Kuwada - The Fatty Liver Disease Epidemic (2025.10.24),https://us06web.zoom.us/j/84296892493?pwd=GbA7UTJp3fy8fTFlf6aUUi6INeQbtk.1,842 9689 2493,451715,,missing,,
短期,2025-PEDS-01,,Dr.Ran Goldman,小児科,University of British Columbia,2025/11/17,早朝,7:30,8:30,ハワイ大図書室,,Methodology and why Research is Important,[小児科] Dr.Ran Goldman - Methodology and why Research is Important (2025.11.17),https://us06web.zoom.us/j/85933124309?pwd=PVTAEz9AFL8YS1nFI9aAoUjuvQhMac.1,859 3312 4309,651490,,skipped(already_on_vimeo),,
短期,2025-PEDS-01,,Dr.Ran Goldman,小児科,University of British Columbia,2025/11/18,早朝,7:30,8:30,ハワイ大図書室,,Conducting medical Literature for Research,[小児科] Dr.Ran Goldman - Conducting medical Literature for Research (2025.11.18),https://us06web.zoom.us/j/85933124309?pwd=PVTAEz9AFL8YS1nFI9aAoUjuvQhMac.1,859 3312 4309,651490,,skipped(already_on_vimeo),,
短期,2025-PEDS-01,,Dr.Ran Goldman,小児科,University of British Columbia,2025/11/19,早朝,7:30,8:30,ハワイ大図書室,,The Art of Writing Case Reports,[小児科] Dr.Ran Goldman - The Art of Writing Case Reports (2025.11.19),https://us06web.zoom.us/j/85933124309?pwd=PVTAEz9AFL8YS1nFI9aAoUjuvQhMac.1,859 3312 4309,651490,,skipped(already_on_vimeo),,
短期,2025-PEDS-01,,Dr.Ran Goldman,小児科,University of British Columbia,2025/11/19,午後,14:00,,南部医療センターこども医療センター,,Lecture at Nanbu Medical Center (Pediatric Center),[小児科] Dr.Ran Goldman - Lecture at Nanbu Medical Center (Pediatric Center) (2025.11.19),https://us06web.zoom.us/j/89607750128?pwd=N70zhYvJamo4xn9aodCJba1zSxb7bG.1,896 0775 0128,907521,PM 南部医療センター,missing,,
短期,2025-PEDS-01,,Dr.Ran Goldman,小児科,University of British Columbia,2025/11/20,早朝,7:30,8:30,ハワイ大図書室,,Fever in Children,[小児科] Dr.Ran Goldman - Fever in Children (2025.11.20),https://us06web.zoom.us/j/85933124309?pwd=PVTAEz9AFL8YS1nFI9aAoUjuvQhMac.1,859 3312 4309,651490,,skipped(already_on_vimeo),,
短期,2025-PEDS-01,,Dr.Ran Goldman,小児科,University of British Columbia,2025/11/21,早朝,7:30,8:30,ハワイ大図書室,,Croup in Pediatrics,[小児科] Dr.Ran Goldman - Croup in Pediatrics (2025.11.21),https://us06web.zoom.us/j/85933124309?pwd=PVTAEz9AFL8YS1nFI9aAoUjuvQhMac.1,859 3312 4309,651490,,skipped(already_on_vimeo),,
短期,2025-SURG-02,町淳二,Dr.Junji Machi,外科,"Professor of Surgery, University of Hawaii at Manoa John A. Burns School of Medicine",2025/11/25,早朝,7:30,8:30,当院・第2会議室,,Case Discussion: Jaundice,[外科] Dr.Junji Machi - Case Discussion: Jaundice (2025.11.25),https://us06web.zoom.us/j/83423759509?pwd=znp5u7nCjiohq6j68TenRjMQbuLm3I.1,834 2375 9509,633615,,skipped(already_on_vimeo),,
短期,2025-SURG-02,町淳二,Dr.Junji Machi,外科,"Professor of Surgery, University of Hawaii at Manoa John A. Burns School of Medicine",2025/11/26,早朝,7:30,8:30,当院・第2会議室,,Space Medicine,[外科] Dr.Junji Machi - Space Medicine (2025.11.26),https://us06web.zoom.us/j/83423759509?pwd=znp5u7nCjiohq6j68TenRjMQbuLm3I.1,834 2375 9509,633615,,skipped(already_on_vimeo),,
短期,2025-SURG-02,町淳二,Dr.Junji Machi,外科,"Professor of Surgery, University of Hawaii at Manoa John A. Burns School of Medicine",2025/11/26,午後,14:00,15:30,南部医療センター・6F EV前カンファレンス室,,Lecture at Nanbu Medical Center,[外科] Dr.Junji Machi - Lecture at Nanbu Medical Center (2025.11.26),https://us06web.zoom.us/j/84859793818?pwd=KkaT7jmEOfnP5vTA7cSxYydqW3v3A5.1,848 5979 3818,455343,PM 南部医療センター,missing,,
短期,2025-SURG-02,町淳二,Dr.Junji Machi,外科,"Professor of Surgery, University of Hawaii at Manoa John A. Burns School of Medicine",2025/11/27,早朝,7:30,8:30,当院・第2会議室,,Clinical Fellowship in the United States,[外科] Dr.Junji Machi - Clinical Fellowship in the United States (2025.11.27),https://us06web.zoom.us/j/83423759509?pwd=znp5u7nCjiohq6j68TenRjMQbuLm3I.1,834 2375 9509,633615,,skipped(already_on_vimeo),,
短期,2025-PEDS-02,,Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",2025/12/1,早朝,7:30,8:30,ハワイ大図書室,,Pediatric Foreign Body Ingestions: Not Just a Coin,[小児科] Dr.Jannet Lee Jayaram - Pediatric Foreign Body Ingestions: Not Just a Coin (2025.12.01),https://us06web.zoom.us/j/86074648985?pwd=9WhYL4B8uHBe4bhzQqbgaCTCjn7m12.1,860 7464 8985,224201,,skipped(already_on_vimeo),,
